
> printvik-backend@1.0.0 start
> node server.js

[BACKUP] Backup service initialized (Schedule: Daily at 00:00)
FIREBASE_SERVICE_ACCOUNT_PATH not found. Firebase notifications will be mocked.
🚀 Server running on port 5001
📍 Environment: development
✅ MongoDB Connected: localhost
[GET] /api/auth/me - 304 (29ms)
[GET] /api/auth/me - 304 (4ms)
[GET] /api/admin/users?role=delivery_boy - 304 (69ms)
[GET] /api/admin/orders - 304 (92ms)
[GET] /api/admin/users?role=operator - 304 (75ms)
[GET] /api/admin/users?role=operator - 304 (8ms)
[GET] /api/admin/users?role=delivery_boy - 304 (10ms)
[GET] /api/admin/orders - 304 (11ms)
[GET] /api/admin/users?role=operator - 304 (14ms)
[GET] /api/auth/me - 304 (8ms)
[GET] /api/admin/orders - 304 (22ms)
[GET] /api/admin/users?role=delivery_boy - 304 (19ms)
[GET] /api/auth/me - 304 (10ms)
[GET] /api/admin/users?role=delivery_boy - 304 (12ms)
[GET] /api/admin/users?role=operator - 304 (15ms)
[GET] /api/admin/orders - 304 (17ms)
[PUT] /api/admin/orders/6927757cf6004d5b7089817f - 200 (16ms)
[PUT] /api/admin/orders/6927757cf6004d5b7089817f - 200 (5ms)
[GET] /api/products/admin - 200 (24ms)
[GET] /uploads/1763920095946-62761722.png - 404 (2ms)
[GET] /api/products/admin - 304 (11ms)
[PUT] /api/products/692348dfe102b2c2926cb7ca - 200 (17ms)
[GET] /uploads/1763920095946-62761722.png - 404 (2ms)
[GET] /api/auth/me - 304 (215ms)
[GET] /api/auth/me - 304 (5ms)
[GET] /api/admin/users?role=delivery_boy - 304 (240ms)
[GET] /api/admin/orders - 200 (262ms)
[GET] /api/admin/users?role=operator - 304 (252ms)
[GET] /api/admin/users?role=delivery_boy - 304 (10ms)
[GET] /api/admin/users?role=operator - 304 (12ms)
[GET] /api/admin/orders - 304 (14ms)
[GET] /api/admin/users?role=operator - 304 (12ms)
[GET] /api/auth/me - 304 (9ms)
[GET] /api/products/admin - 200 (15ms)
[GET] /api/admin/users?role=delivery_boy - 304 (17ms)
[GET] /api/admin/orders - 304 (24ms)
[GET] /api/admin/users?role=operator - 304 (8ms)
[GET] /api/auth/me - 304 (9ms)
[GET] /api/products/admin - 304 (9ms)
[GET] /uploads/1763920095946-62761722.png - 404 (1ms)
[GET] /api/admin/users?role=delivery_boy - 304 (11ms)
[GET] /api/auth/me - 304 (10ms)
[GET] /api/admin/orders - 304 (21ms)
[GET] /api/auth/me - 304 (1ms)
[GET] /api/admin/users?role=delivery_boy - 304 (85ms)
[GET] /api/admin/orders - 304 (75ms)
[GET] /api/admin/users?role=operator - 304 (76ms)
[GET] /api/admin/users?role=delivery_boy - 304 (23ms)
[GET] /api/admin/users?role=operator - 304 (26ms)
[GET] /api/auth/me - 304 (15ms)
[GET] /api/admin/orders - 304 (41ms)
[GET] /api/admin/users?role=operator - 304 (10ms)
[GET] /api/auth/me - 304 (11ms)
[GET] /api/admin/users?role=delivery_boy - 304 (43ms)
[GET] /api/admin/orders - 304 (59ms)
[GET] /api/admin/users?role=operator - 304 (13ms)
[GET] /api/admin/orders - 304 (26ms)
[GET] /api/admin/users?role=delivery_boy - 304 (18ms)
[GET] /api/admin/users?role=operator - 304 (8ms)
[GET] /api/admin/users?role=delivery_boy - 304 (17ms)
[GET] /api/admin/orders - 304 (20ms)
[GET] /api/auth/me - 304 (10ms)
[GET] /api/admin/users?role=operator - 304 (16ms)
[GET] /api/admin/users?role=delivery_boy - 304 (16ms)
[GET] /api/admin/orders - 304 (27ms)
[GET] /api/auth/me - 304 (6ms)
[GET] /api/admin/users?role=operator - 304 (7ms)
[GET] /api/admin/users?role=delivery_boy - 304 (9ms)
[GET] /api/admin/orders - 304 (9ms)
[GET] /api/admin/users?role=delivery_boy - 304 (7ms)
[GET] /api/admin/users?role=operator - 304 (18ms)
[GET] /api/admin/users?role=delivery_boy - 304 (9ms)
[GET] /api/admin/orders - 304 (34ms)
[GET] /api/admin/users?role=operator - 304 (11ms)
[GET] /api/admin/orders - 304 (22ms)
[GET] /api/auth/me - 304 (61ms)
[GET] /api/admin/users?role=delivery_boy - 304 (113ms)
[GET] /api/admin/orders - 304 (145ms)
[GET] /api/admin/users?role=operator - 304 (130ms)
[GET] /api/auth/me - 304 (51ms)
[GET] /api/admin/users?role=delivery_boy - 304 (22ms)
[GET] /api/admin/users?role=operator - 304 (54ms)
[GET] /api/admin/orders - 304 (66ms)
[GET] /api/admin/users?role=operator - 304 (10ms)
[GET] /api/admin/users?role=delivery_boy - 304 (10ms)
[GET] /api/admin/orders - 304 (32ms)
[GET] /api/admin/users?role=operator - 304 (72ms)
[GET] /api/admin/users?role=delivery_boy - 304 (64ms)
[GET] /api/admin/orders - 304 (77ms)
[GET] /api/auth/me - 304 (66ms)
[GET] /api/admin/stats/dashboard - 200 (81ms)
[GET] /api/auth/me - 304 (4ms)
[GET] /api/admin/stats/dashboard - 200 (4ms)
[GET] /api/admin/stats/dashboard - 200 (6ms)
[GET] /api/auth/me - 304 (7ms)
[GET] /api/admin/stats/dashboard - 200 (7ms)
[GET] /api/auth/me - 304 (2ms)
[GET] /api/admin/services - 200 (12ms)
[GET] /api/admin/services - 304 (7ms)
[GET] /api/admin/users?role=operator - 304 (65ms)
[GET] /api/admin/users?role=operator - 304 (7ms)
[GET] /api/admin/users?role=user - 304 (14ms)
